,VIXCLS,VIXCLS (ln diff),WILL5000PR,WILL5000PR (ln diff),BAMLC0A4CBBBEY,BAMLC0A4CBBBEY (ln diff),DCOILBRENTEU,DCOILBRENTEU (ln diff),WILLREITIND,WILLREITIND (ln diff)
0,,,,,,,,,,
1,17.79,,21279.35,,3.78,,55.38,,8657.88,
2,19.92,0.11308775047870867,20901.76,-0.01790375294257629,3.76,-0.00530505222969313,51.08,-0.08082548657847788,8704.96,0.005423089239407375
3,21.12,0.0584962066816086,20704.25,-0.00949437274462639,3.73,-0.008010723746078918,50.12,-0.018972901136470988,8792.16,0.009967437148594271
4,19.31,-0.0895973623976376,20945.1,0.011565735589819326,3.71,-0.005376357036380286,49.06,-0.02137609119752426,8928.12,0.015345431110963759
5,17.01,-0.12682169003265287,21313.55,0.017438291895565783,3.73,0.005376357036380286,49.43,0.007513488488524622,8960.71,0.0036436185100168217
6,17.55,0.03125254350410467,21134.66,-0.008428673862358238,3.7,-0.008075414005545234,47.64,-0.03688478283176844,8968.61,0.0008812381631049249
7,19.6,0.11047561632459679,20977.41,-0.0074682023881376125,3.66,-0.010869672236903938,46.9,-0.015655069034865576,9039.69,0.007894178698737875
8,20.56,0.04781787435049267,20936.04,-0.0019740686311795486,3.66,0.0,45.13,-0.03847046161332379,9023.3,-0.0018147609557654931
9,21.48,0.04377482905369945,20820.05,-0.005555611089734569,3.63,-0.008230499136515634,45.82,0.01517346318643975,9098.97,0.00835109947857049
10,22.39,0.041492160969999414,20614.11,-0.009940671941263801,3.58,-0.013869847864150353,47.66,0.039371794645246094,9120.73,0.0023886244390425304
11,20.95,-0.06647578424251677,20892.92,0.013434552819475698,,,47.38,-0.0058922729399562,9202.13,0.008885134254553506
12,,,,,3.63,,,,,
13,19.89,,20911.81,,3.61,-0.005524875931969708,46.49,,9127.73,
14,18.85,-0.05370417897186064,21000.06,0.004211223714033707,3.65,0.011019395249610486,46.5,0.000215076890817123,9117.04,-0.0011718428046290086
15,16.4,-0.13923157906386718,21333.81,0.0157678433297459,3.66,0.0027359798188748563,46.09,-0.008856305860893254,9283.1,0.018050352738113062
16,16.66,0.015729301908543825,21226.82,-0.005027661731926258,3.6,-0.016529301951210718,46.69,0.01293400225042829,9254.81,-0.0030521263682068422
